"","Area","ISO.3.code","Year","Continent","Biomass","Coal","Gas","Hydro","Nuclear","Other Fossil","Other Renewables","Solar","Wind"
"74","Guatemala","GTM",2024,"North America",0.002217,0.1583,0,0.399,0,0.1583,0.0215,0.0177,0.0234
"75","Guinea","GIN",2024,"Africa",0,0,0,0.7444,0,0.2481,0,0.0074,0
"76","Guinea-Bissau","GNB",2024,"Africa",0,0,0,0,0,1,0,0,0
"77","Guyana","GUY",2024,"South America",0.000145,0,0.0072,0,0,0.9638,0,0.0145,0
"78","Haiti","HTI",2024,"North America",0,0,0,0.186,0,0.814,0,0,0
"79","Honduras","HND",2024,"North America",0.000673,0.0048,0,0.3045,0,0.4407,0.028,0.0946,0.0601
"80","Hong Kong","HKG",2024,"Asia",4.3e-05,0.3365,0.641,0,0,0.012,0,0.0061,0
"81","Hungary","HUN",2024,"Europe",0.000482,0.0642,0.1876,0.0061,0.4216,0.0118,3e-04,0.2421,0.0182
"82","Iceland","ISL",2024,"Europe",0,0,0,0.7066,0,0,0.2924,5e-04,5e-04
"83","India","IND",2024,"Asia",0.000109,0.7453,0.0277,0.0769,0.0269,0.002,NA,0.0703,0.04
"84","Indonesia","IDN",2024,"Asia",0.000574,0.6148,0.1851,0.0735,NA,0.0192,0.0451,0.0036,0.0013
"85","Iran (Islamic Republic of)","IRN",2024,"Asia",1e-06,0.0018,0.8592,0.0477,0.0186,0.0672,NA,0.0023,0.0032
"86","Iraq","IRQ",2024,"Asia",0,0,0.5296,0.0134,0,0.4542,0,0.0029,0
"87","Ireland","IRL",2024,"Europe",0.000322,0.0203,0.4858,0.0248,0,0.0286,0,0.0351,0.3732
"88","Israel","ISR",2024,"Asia",1.4e-05,0.143,0.7139,1e-04,NA,0.005,NA,0.1308,0.0057
"89","Italy","ITA",2024,"Europe",0.000644,0.0148,0.4432,0.1986,0,0.0403,0.0212,0.1345,0.083
"90","Jamaica","JAM",2024,"North America",0.000122,0,0.5691,0.0244,0,0.3049,0,0.0305,0.0589
"91","Japan","JPN",2024,"Asia",0.000447,0.3219,0.3407,0.0782,0.0835,0.0246,NA,0.0951,0.0114
"92","Jordan","JOR",2024,"Asia",0,0,0.6198,8e-04,0,0.1394,0,0.166,0.0739
"93","Kazakhstan","KAZ",2024,"Asia",0,0.5403,0.2929,0.0949,NA,0.0147,NA,0.0158,0.0414
"94","Kenya","KEN",2024,"Africa",0.000151,0,0,0.2338,0,0.0852,0.4525,0.0498,0.1637
"95","Kiribati","KIR",2024,"Oceania",0,0,0,0,0,0.75,0,0.25,0
"96","Korea (the Democratic People's Republic of)","PRK",2024,"Asia",0,0.3406,0,0.6273,0,0.0258,0,0.0063,0
"97","Kosovo","XKX",2024,"Europe",0,0.9129,0,0.031,0,0.0015,0,0.0015,0.0532
"98","Kuwait","KWT",2024,"Asia",0,0,0.6208,0,0,0.3568,0,0.0023,0.0201
"99","Kyrgyzstan","KGZ",2024,"Asia",0,0.097,0.012,0.8878,0,0.0032,0,0,0
"100","Lao People's Democratic Republic (the)","LAO",2024,"Asia",8e-06,0.2328,0,0.7647,0,0,0,0.0017,0
